Date,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,No. of countries,7D Avg New Cases,7D Avg New Deaths,Case Fatality Rate (%),Doubling Time (days)
2020-05-22,5216964,339396,2008541,2869027,106900,5284,107773,6.51,38.5,16.9,187,96457.71428571429,4361.428571428572,6.505622810508181,35.02458991949177
2020-05-23,5322253,343385,2062802,2916066,105289,3989,54261,6.45,38.76,16.65,187,97868.71428571429,4335.428571428572,6.451872919231762,35.229967667281706
2020-05-24,5417579,346525,2117555,2953499,95326,3140,54753,6.4,39.09,16.36,187,100271.14285714286,4308.428571428572,6.396307280429136,34.98488595995432
2020-05-25,5504542,347703,2180605,2976234,87335,1178,63050,6.32,39.61,15.95,187,100135.57142857143,4006.5714285714284,6.316656317637326,35.65917852586447
2020-05-26,5597064,351906,2235118,3010040,92742,4203,54513,6.29,39.93,15.74,187,99579.71428571429,3923.5714285714284,6.287332072672387,36.51885156582244
2020-05-27,5699664,357119,2297613,3044932,102600,5213,62495,6.27,40.31,15.54,187,99518.57142857143,3970.4285714285716,6.265614955548257,37.259226312250554
2020-05-28,5818978,361820,2363746,3093412,119314,4701,66133,6.22,40.62,15.31,187,101358.0,3958.285714285714,6.217930365091602,37.3483859027831
2020-05-29,5940145,366562,2440127,3133456,121167,4742,76381,6.17,41.08,15.02,187,103396.14285714286,3880.8571428571427,6.170926803975324,37.37565854358915
2020-05-30,6077978,370718,2509981,3197279,137833,4156,69854,6.1,41.3,14.77,187,108045.28571428571,3904.714285714286,6.0993639661084655,36.54315140784066
2020-05-31,6185530,373606,2585589,3226335,107552,2888,75608,6.04,41.8,14.45,187,109791.85714285714,3868.714285714286,6.039999805998839,36.60151195201604
2020-06-01,6280725,376674,2639599,3264452,95195,3068,54010,6.0,42.03,14.27,187,110914.71428571429,4138.714285714285,5.997301266971568,36.78236839099612
2020-06-02,6401536,381497,2743083,3276956,121577,4823,103484,5.96,42.85,13.91,187,115034.0,4227.285714285715,5.959460354514916,36.129430202182384
2020-06-03,6520924,387069,2821430,3312425,119389,5572,78347,5.94,43.27,13.72,187,117432.42857142857,4278.571428571428,5.935799895842981,36.04540100596942
2020-06-04,6647861,392218,2890776,3364867,126937,5149,69346,5.9,43.48,13.57,187,118521.42857142857,4342.571428571428,5.899912768934248,36.434721833682566
2020-06-05,6778724,396994,2959037,3422693,130863,4776,68261,5.86,43.65,13.42,187,119906.57142857143,4347.428571428572,5.856470922846246,36.742401112229366
2020-06-06,6914666,400875,3030214,3483577,135942,3881,71177,5.8,43.82,13.23,187,119636.42857142857,4308.142857142857,5.797460065316242,37.620631862040085
2020-06-07,7026925,403617,3084718,3538590,112259,2742,54504,5.74,43.9,13.08,187,120308.85714285714,4287.285714285715,5.7438637810991295,38.04424653390846
2020-06-08,7129150,407314,3235640,3486196,102225,3697,150922,5.71,45.39,12.59,187,121313.14285714286,4377.142857142857,5.713359937720486,38.293431674452314
2020-06-09,7253492,412236,3317121,3524135,124342,4922,81481,5.68,45.73,12.43,187,121708.14285714286,4391.285714285715,5.68327641362257,38.833314320513466
2020-06-10,7387517,417441,3395154,3574922,134025,5205,78033,5.65,45.96,12.3,187,123799.0,4338.857142857143,5.650626590774681,38.88605027880797
2020-06-11,7525631,422215,3480121,3623295,138114,4774,84967,5.61,46.24,12.13,187,125395.71428571429,4285.285714285715,5.610360114653509,39.12312006255917
2020-06-12,7654725,426512,3558933,3669280,129094,4297,78812,5.57,46.49,11.98,187,125143.0,4216.857142857143,5.571878806880718,39.92316107106594
2020-06-13,7790735,430750,3644048,3715937,136010,4238,85115,5.53,46.77,11.82,187,125152.71428571429,4267.857142857143,5.529003361043599,40.674055971392825
2020-06-14,7924156,434124,3714006,3776026,133421,3374,69958,5.48,46.87,11.69,187,128175.85714285714,4358.142857142857,5.478488813193481,40.37752247524807
2020-06-15,8043794,437549,3793406,3812839,119638,3425,79400,5.44,47.16,11.53,187,130663.42857142857,4319.285714285715,5.439584852620542,40.19614366303077
2020-06-16,8185197,444416,3890800,3849981,141403,6867,97394,5.43,47.53,11.42,187,133100.7142857143,4597.142857142857,5.42950890491701,40.151098839450974
2020-06-17,8327050,449671,4008201,3869178,141853,5255,117401,5.4,48.13,11.22,187,134219.0,4604.285714285715,5.400123693264722,40.528974566001395
2020-06-18,8466978,454700,4088826,3923452,139928,5029,80625,5.37,48.29,11.12,187,134478.14285714287,4640.714285714285,5.37027496705436,41.168094532836406
2020-06-19,8647784,460973,4183298,4003513,180954,6273,94472,5.33,48.37,11.02,187,141886.7142857143,4923.0,5.330533232559925,39.77726108282997
2020-06-20,8805336,465222,4298603,4041511,157552,4249,115305,5.28,48.82,10.82,187,144964.14285714287,4924.571428571428,5.2834099686826255,39.63342169489363
2020-06-21,8933875,469185,4366875,4097815,128539,3963,68272,5.25,48.88,10.74,187,144266.7142857143,5008.714285714285,5.251752459039331,40.45569603045495
2020-06-22,9071733,472756,4458093,4140884,137858,3571,91218,5.21,49.14,10.6,187,146869.57142857142,5029.571428571428,5.211308577975124,40.34534592314776
2020-06-23,9237071,478067,4561696,4197308,165338,5311,103603,5.18,49.38,10.48,187,150288.85714285713,4807.285714285715,5.175525878278948,40.133399374818026
2020-06-24,9408254,483328,4677005,4247921,171183,5261,115309,5.14,49.71,10.33,187,154478.85714285713,4808.142857142857,5.137276268264015,39.745284221639054
2020-06-25,9586141,489955,4769458,4326728,177887,6627,92453,5.11,49.75,10.27,187,159901.57142857142,5036.428571428572,5.111076500961127,39.083651439597105
